,full_name,selling_price,new_price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats
15,Renault Duster 110PS Diesel RxL Explore,7.5 Lakh*,,2016,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage19.64 kmpl,Engine1461 CC,Max Power108.45 bhp,Seats5
16,Mini Cooper Cooper S,32.5 Lakh*,,2017,Dealer,"6,000 kms",First Owner,Petrol,Automatic,Mileage14.41 kmpl,Engine1998 CC,Max Power189.08 bhp,Seats5
17,Maruti Ciaz ZDi Plus SHVS,6.5 Lakh*,,2016,Dealer,"76,000 kms",First Owner,Diesel,Manual,Mileage28.09 kmpl,Engine1248 CC,Max Power88.5 bhp,Seats5
18,Maruti Swift VDI BSIV,6.27 Lakh*,,2016,Individual,"20,000 kms",First Owner,Diesel,Manual,Mileage25.2 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
19,Mercedes-Benz C-Class C 220 CDI Avantgarde,14.25 Lakh*,New Car (On-Road Price) : Rs.51.30-64.08 Lakh*,2014,Dealer,"65,000 kms",First Owner,Diesel,Automatic,Mileage19.27 kmpl,Engine2143 CC,Max Power170 bhp,Seats5
20,Maruti Swift VDI,4.25 Lakh*,,2014,Dealer,"62,200 kms",First Owner,Diesel,Manual,Mileage28.4 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
21,Toyota Innova 2.5 GX (Diesel) 8 Seater,6.05 Lakh*,,2013,Individual,"1,10,000 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100.6 bhp,Seats8
22,Maruti Baleno Zeta 1.2,6 Lakh*,New Car (On-Road Price) : Rs.6.81-10.54 Lakh*,2015,Individual,"20,000 kms",First Owner,Petrol,Manual,Mileage21.4 kmpl,Engine1197 CC,Max Power83.1 bhp,Seats5
23,Maruti Swift Dzire VXI,5.75 Lakh*,New Car (On-Road Price) : Rs.6.98-10.40 Lakh*,2016,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage20.85 kmpl,Engine1197 CC,Max Power83.14 bhp,Seats5
24,Fiat Grande Punto 1.3 Emotion Pack (Diesel),2.6 Lakh*,,2012,Individual,"97,000 kms",First Owner,Diesel,Manual,Mileage17.8 kmpl,Engine1248 CC,Max Power76 bhp,Seats5
25,Volkswagen Vento 1.6 Comfortline BSIV,4.25 Lakh*,New Car (On-Road Price) : Rs.10.12-16.08 Lakh*,2013,Dealer,"47,000 kms",First Owner,Petrol,Manual,Mileage16.09 kmpl,Engine1598 CC,Max Power103.2 bhp,Seats5
26,Maruti Alto K10 2010-2014 VXI,2.3 Lakh*,,2013,Dealer,"25,000 kms",First Owner,Petrol,Manual,Mileage20.92 kmpl,Engine998 CC,Max Power67.1 bhp,Seats5
27,Hyundai Creta 1.6 CRDi SX,12.25 Lakh*,New Car (On-Road Price) : Rs.10.95-18.30 Lakh*,2019,Individual,"15,000 kms",First Owner,Diesel,Manual,Mileage19.67 kmpl,Engine1582 CC,Max Power126.2 bhp,Seats5
28,Mahindra Xylo H9,3.75 Lakh*,,2010,Dealer,"56,823 kms",First Owner,Diesel,Manual,Mileage14.02 kmpl,Engine2179 CC,Max Power118.3 bhp,Seats8
29,Honda City i VTEC VX,7.5 Lakh*,New Car (On-Road Price) : Rs.12.36-16.57 Lakh*,2015,Individual,"50,000 kms",First Owner,Petrol,Manual,Mileage17.4 kmpl,Engine1497 CC,Max Power117.3 bhp,Seats5
30,Mahindra Bolero SLE BSIII,3.5 Lakh*,New Car (On-Road Price) : Rs.9.05-10.69 Lakh*,2011,Individual,"25,000 kms",First Owner,Diesel,Manual,Mileage13.6 kmpl,Engine2523 CC,Max Power63 bhp,Seats7
31,Maruti Swift Dzire VDI,6 Lakh*,,2015,Individual,"90,000 kms",First Owner,Diesel,Manual,Mileage26.59 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
32,Maruti Swift Dzire LDI,3.9 Lakh*,,2013,Dealer,"45,000 kms",First Owner,Diesel,Manual,Mileage26.59 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
33,Honda City 2017-2020 GXi,1.45 Lakh*,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,2007,Dealer,"77,253 kms",First Owner,Petrol,Manual,Mileage17.7 kmpl,Engine1497 CC,Max Power78 bhp,Seats5
34,Hyundai i20 Active 1.2 SX,7 Lakh*,,2018,Individual,"25,000 kms",First Owner,Petrol,Manual,Mileage17.19 kmpl,Engine1197 CC,Max Power81.86 bhp,Seats5
35,Toyota Fortuner 4x2 Manual,11.5 Lakh*,New Car (On-Road Price) : Rs.37.47-43.30 Lakh*,2013,Individual,"1,10,000 kms",First Owner,Diesel,Manual,Mileage13.0 kmpl,Engine2982 CC,Max Power168.5 bhp,Seats7
36,Renault KWID Climber 1.0 MT,3.4 Lakh*,New Car (On-Road Price) : Rs.3.81-6.29 Lakh*,2017,Individual,"30,000 kms",First Owner,Petrol,Manual,Mileage23.01 kmpl,Engine999 CC,Max Power67 bhp,Seats5
37,Honda Amaze S Petrol,4.65 Lakh*,New Car (On-Road Price) : Rs.7.04-9.90 Lakh*,2016,Dealer,"39,993 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1199 CC,Max Power88.76 bhp,Seats5
38,Hyundai Santro Xing GLS,1.25 Lakh*,,2009,Individual,"80,000 kms",First Owner,Petrol,Manual,Mileage17.92 kmpl,Engine1086 CC,Max Power62.1 bhp,Seats5
39,Mahindra XUV500 W8 2WD,6 Lakh*,New Car (On-Road Price) : Rs.16.59-23.36 Lakh*,2012,Individual,"1,85,000 kms",First Owner,Diesel,Manual,Mileage15.1 kmpl,Engine2179 CC,Max Power140 bhp,Seats7
40,Maruti Swift Dzire VDI,3.8 Lakh*,,2013,Individual,"90,000 kms",First Owner,Diesel,Manual,Mileage23.4 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
41,Mahindra Xylo E8,4 Lakh*,,2009,Individual,"60,000 kms",First Owner,Diesel,Manual,Mileage14.0 kmpl,Engine2498 CC,Max Power112 bhp,Seats8
42,Chevrolet Sail 1.3 Base,3 Lakh*,,2014,Individual,"90,000 kms",First Owner,Diesel,Manual,Mileage22.1 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
43,Hyundai Xcent 1.2 Kappa SX,5 Lakh*,,2015,Individual,"20,000 kms",First Owner,Petrol,Manual,Mileage19.1 kmpl,Engine1197 CC,Max Power82 bhp,Seats5
44,Hyundai i20 1.4 Asta Option,8.5 Lakh*,,2018,Individual,"15,000 kms",First Owner,Diesel,Manual,Mileage22.54 kmpl,Engine1396 CC,Max Power88.73 bhp,Seats5
45,Hyundai i20 1.2 Magna Executive,5.98 Lakh*,New Car (On-Road Price) : Rs.7.63-12.66 Lakh*,2018,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Seats5
46,Honda City i VTEC CVT SV,7 Lakh*,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,2015,Dealer,"31,180 kms",First Owner,Petrol,Automatic,Mileage18.0 kmpl,Engine1497 CC,Max Power117.3 bhp,Seats5
47,Mahindra TUV 300 mHAWK100 T8 AMT,9 Lakh*,,2018,Individual,"40,000 kms",First Owner,Diesel,Automatic,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Seats7
48,Maruti 800 Std,"75,000*",,2004,Individual,"50,000 kms",First Owner,Petrol,Manual,Mileage16.1 kmpl,Engine796 CC,Max Power37 bhp,Seats4
49,Tata Indigo LS TDI BSIII,3 Lakh*,,2015,Individual,"58,000 kms",First Owner,Diesel,Manual,Mileage19.09 kmpl,Engine1396 CC,Max Power69 bhp,Seats5
50,Maruti Swift Dzire ZDI,4.1 Lakh*,,2014,Dealer,"56,000 kms",First Owner,Diesel,Manual,Mileage23.4 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
51,Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),3 Lakh*,,2011,Individual,"93,000 kms",First Owner,Diesel,Manual,Mileage20.5 kmpl,Engine1248 CC,Max Power91.7 bhp,Seats5
52,Ambassador Avigo 1800 ISZ MPFI AC,2.25 Lakh*,,2010,Dealer,"86,000 kms",First Owner,Petrol,Manual,Mileage12.2 kmpl,Engine1817 CC,Max Power75 bhp,Seats5
53,Maruti Swift VDI BSIV,3 Lakh*,,2011,Individual,"1,20,000 kms",First Owner,Diesel,Manual,Mileage17.8 kmpl,Engine1248 CC,,Seats5
54,Maruti Baleno Zeta Automatic,5.9 Lakh*,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,2016,Dealer,"52,427 kms",First Owner,Petrol,Automatic,Mileage21.4 kmpl,Engine1197 CC,Max Power83.1 bhp,Seats5
55,Mahindra Bolero B6,8.5 Lakh*,New Car (On-Road Price) : Rs.8.93-10.47 Lakh*,2020,Individual,"40,000 kms",First Owner,Diesel,Manual,Mileage21.0 kmpl,Engine1498 CC,Max Power74.96 bhp,Seats7
56,Tata Nano Cx BSIV,1.08 Lakh*,,2011,Individual,"70,000 kms",First Owner,Petrol,Manual,Mileage26.0 kmpl,Engine624 CC,Max Power35 bhp,Seats4
57,Mahindra KUV100 NXT G80 K8 5Str BSIV,5.5 Lakh*,New Car (On-Road Price) : Rs.6.88-8.75 Lakh*,2018,Individual,"17,000 kms",First Owner,Petrol,Manual,Mileage18.15 kmpl,Engine1198 CC,Max Power82 bhp,Seats5
58,Toyota Etios G,3.25 Lakh*,,2012,Dealer,"54,325 kms",First Owner,Petrol,Manual,Mileage17.6 kmpl,Engine1496 CC,Max Power88.73 bhp,Seats5
59,Maruti Baleno Vxi - BSIII,6.25 Lakh*,New Car (On-Road Price) : Rs.6.81-10.54 Lakh*,2016,Dealer,"22,000 kms",First Owner,Petrol,Manual,Mileage15.4 kmpl,Engine1590 CC,Max Power94 bhp,Seats5
60,Maruti Swift Dzire ZXI,6 Lakh*,New Car (On-Road Price) : Rs.6.98-10.40 Lakh*,2016,Individual,"54,000 kms",First Owner,Petrol,Manual,Mileage20.85 kmpl,Engine1197 CC,Max Power83.14 bhp,Seats5
61,Maruti Wagon R LXI Optional,4.45 Lakh*,New Car (On-Road Price) : Rs.5.11-6.79 Lakh*,2019,Individual,"10,000 kms",First Owner,Petrol,Manual,Mileage20.51 kmpl,Engine998 CC,Max Power67.04 bhp,Seats5
62,Maruti Ignis 1.2 Delta BSIV,5.3 Lakh*,New Car (On-Road Price) : Rs.5.77-8.56 Lakh*,2019,Individual,"20,000 kms",First Owner,Petrol,Manual,Mileage20.89 kmpl,Engine1197 CC,Max Power81.80 bhp,Seats5
63,Toyota Corolla Altis GL,3.85 Lakh*,,2011,Dealer,"61,000 kms",First Owner,Petrol,Manual,Mileage14.53 kmpl,Engine1798 CC,Max Power138.1 bhp,Seats5
64,Maruti Wagon R LXI CNG,4.1 Lakh*,New Car (On-Road Price) : Rs.5.97-6.04 Lakh*,2018,Trustmark Dealer,"53,237 kms",First Owner,CNG,Manual,Mileage26.6 km/kg,Engine998 CC,Max Power58.16 bhp,Seats5
65,Datsun RediGO Gold 1.0,3.5 Lakh*,New Car (On-Road Price) : Rs.3.29-5.50 Lakh*,2018,Individual,"27,263 kms",First Owner,Petrol,Manual,Mileage22.5 kmpl,Engine999 CC,Max Power68 bhp,Seats5
66,Tata Indigo eLX BS IV,2.65 Lakh*,,2014,Individual,"90,000 kms",First Owner,Diesel,Manual,Mileage25.0 kmpl,Engine1396 CC,Max Power69.01 bhp,Seats5
67,Hyundai Verna 1.6 CRDI,5.2 Lakh*,New Car (On-Road Price) : Rs.12.84-18.09 Lakh*,2014,Individual,"1,10,000 kms",First Owner,Diesel,Manual,Mileage22.32 kmpl,Engine1582 CC,Max Power126.3 bhp,Seats5
68,Hyundai i20 Asta Option 1.4 CRDi,7.5 Lakh*,New Car (On-Road Price) : Rs.9.59-12.83 Lakh*,2016,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage22.54 kmpl,Engine1396 CC,Max Power88.73 bhp,Seats5
69,Maruti Swift Dzire VDI,5.6 Lakh*,,2017,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage26.59 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
70,Tata Vista TDI LS,2 Lakh*,,2014,Individual,"1,90,000 kms",First Owner,Diesel,Manual,Mileage19.1 kmpl,Engine1405 CC,Max Power70 bhp,Seats5
71,Hyundai Xcent 1.2 CRDi SX,6 Lakh*,,2017,Individual,"40,000 kms",First Owner,Diesel,Manual,Mileage25.4 kmpl,Engine1186 CC,Max Power73.97 bhp,Seats5
72,Hyundai i20 1.2 Spotz,6.55 Lakh*,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2019,Dealer,"39,000 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Seats5
73,Hyundai Santro Xing XE,1.25 Lakh*,,2007,Dealer,"56,000 kms",First Owner,Petrol,Manual,Mileage17.8 kmpl,Engine1086 CC,Max Power63 bhp,Seats5
74,Toyota Corolla Altis 1.8 VL AT,4.25 Lakh*,,2009,Dealer,"58,000 kms",First Owner,Petrol,Automatic,Mileage14.53 kmpl,Engine1794 CC,Max Power138.1 bhp,Seats5
75,Maruti Omni E MPI STD BS IV,2.2 Lakh*,,2017,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage16.8 kmpl,Engine796 CC,Max Power34.2 bhp,Seats8
76,Hyundai i20 1.2 Spotz,5.5 Lakh*,New Car (On-Road Price) : Rs.7.83-13.12 Lakh*,2018,Individual,"34,000 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Seats5
77,Mahindra Scorpio 1.99 S10,11.5 Lakh*,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,2017,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage15.4 kmpl,Engine1997 CC,Max Power120 bhp,Seats7
78,Volkswagen Vento Diesel Highline,5 Lakh*,,2012,Individual,"77,400 kms",First Owner,Diesel,Manual,Mileage20.54 kmpl,Engine1598 CC,Max Power103.6 bhp,Seats5
79,Mahindra Marazzo M2 BSIV,9.9 Lakh*,New Car (On-Road Price) : Rs.13.89-16.43 Lakh*,2019,Individual,"36,000 kms",First Owner,Diesel,Manual,Mileage17.3 kmpl,Engine1497 CC,Max Power121 bhp,Seats7
80,Hyundai Verna SX Opt Diesel,5.51 Lakh*,New Car (On-Road Price) : Rs.12.74-18.17 Lakh*,2013,Dealer,"47,876 kms",First Owner,Diesel,Manual,Mileage25.0 kmpl,Engine1493 CC,Max Power113.42 bhp,Seats5
81,Mahindra XUV500 W11 Option AT BSIV,16.5 Lakh*,New Car (On-Road Price) : Rs.16.54-23.28 Lakh*,2018,Individual,"21,500 kms",First Owner,Diesel,Automatic,Mileage15.1 kmpl,Engine2179 CC,Max Power152.87 bhp,Seats7
82,Hyundai Grand i10 CRDi Magna,3.5 Lakh*,,2015,Dealer,"75,000 kms",First Owner,Diesel,Manual,Mileage24.0 kmpl,Engine1120 CC,Max Power70 bhp,Seats5
83,Ford Aspire 1.2 Ti-VCT Titanium,5 Lakh*,New Car (On-Road Price) : Rs.6.85-8.70 Lakh*,2017,Dealer,"58,000 kms",First Owner,Petrol,Manual,Mileage18.16 kmpl,Engine1196 CC,Max Power86.8 bhp,Seats5
84,Maruti Swift Dzire VXI 1.2,5.75 Lakh*,New Car (On-Road Price) : Rs.6.85-10.26 Lakh*,2018,Individual,"30,000 kms",First Owner,Petrol,Manual,Mileage21.21 kmpl,Engine1197 CC,Max Power81.80 bhp,Seats5
85,Hyundai Grand i10 1.2 CRDi Asta,5.45 Lakh*,,2018,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage24.0 kmpl,Engine1186 CC,Max Power73.97 bhp,Seats5
86,Ford Figo 1.2P Titanium MT,5.25 Lakh*,New Car (On-Road Price) : Rs.6.02-7.91 Lakh*,2017,Trustmark Dealer,"19,093 kms",First Owner,Petrol,Manual,Mileage18.16 kmpl,Engine1196 CC,Max Power86.8 bhp,Seats5
87,Honda Amaze E i-Vtech,4 Lakh*,New Car (On-Road Price) : Rs.7.02-9.85 Lakh*,2014,Individual,"50,000 kms",First Owner,Petrol,Manual,Mileage18.0 kmpl,Engine1198 CC,Max Power86.7 bhp,Seats5
88,Maruti Wagon R LXI BSIII,1.55 Lakh*,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,2006,Dealer,"37,000 kms",First Owner,Petrol,Manual,Mileage14.0 kmpl,Engine1061 CC,Max Power64 bhp,Seats5
89,Mahindra Supro VX 8 Str,5.4 Lakh*,,2019,Individual,"3,888 kms",First Owner,Diesel,Manual,Mileage23.5 kmpl,Engine909 CC,Max Power45 bhp,Seats8
90,Maruti Swift Dzire VDI,5.45 Lakh*,,2016,Dealer,"47,000 kms",First Owner,Diesel,Manual,Mileage26.59 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
91,Honda City V MT,5.45 Lakh*,New Car (On-Road Price) : Rs.13.13-17.45 Lakh*,2013,Individual,"70,000 kms",First Owner,Petrol,Manual,Mileage16.8 kmpl,Engine1497 CC,Max Power116.3 bhp,Seats5
92,Renault KWID RXL,2.4 Lakh*,New Car (On-Road Price) : Rs.3.62-6.09 Lakh*,2016,Individual,"25,000 kms",First Owner,Petrol,Manual,Mileage25.17 kmpl,Engine799 CC,Max Power53.3 bhp,Seats5
93,Maruti Vitara Brezza LDi Option,7.25 Lakh*,,2018,Dealer,"26,000 kms",First Owner,Diesel,Manual,Mileage24.3 kmpl,Engine1248 CC,Max Power88.5 bhp,Seats5
94,Ford Aspire 1.2 Ti-VCT Titanium Opt,4.8 Lakh*,New Car (On-Road Price) : Rs.6.85-8.45 Lakh*,2017,Individual,"30,000 kms",First Owner,Petrol,Manual,Mileage18.16 kmpl,Engine1196 CC,Max Power86.8 bhp,Seats5
95,Hyundai i20 Magna Optional 1.2,3.75 Lakh*,New Car (On-Road Price) : Rs.7.83-13.12 Lakh*,2013,Individual,"15,000 kms",First Owner,Petrol,Manual,Mileage18.5 kmpl,Engine1197 CC,Max Power82.9 bhp,Seats5
96,Maruti Swift VDi BSIII W/ ABS,2.25 Lakh*,,2011,Individual,"1,60,000 kms",First Owner,Diesel,Manual,Mileage17.8 kmpl,Engine1248 CC,Max Power75 bhp,Seats5
97,Tata Tiago 1.2 Revotron XZ,4 Lakh*,New Car (On-Road Price) : Rs.5.63-7.89 Lakh*,2017,Individual,"32,100 kms",First Owner,Petrol,Manual,Mileage23.84 kmpl,Engine1199 CC,Max Power84 bhp,Seats5
98,Hyundai i20 Magna Optional 1.2,5.5 Lakh*,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2016,Dealer,"22,000 kms",First Owner,Petrol,Manual,Mileage18.5 kmpl,Engine1197 CC,Max Power82.9 bhp,Seats5
99,Mahindra Scorpio S10 7 Seater,10.5 Lakh*,,2016,Dealer,"44,000 kms",First Owner,Diesel,Manual,Mileage15.4 kmpl,Engine2179 CC,Max Power120 bhp,Seats7
100,Volkswagen Polo 1.2 MPI Trendline,4.5 Lakh*,New Car (On-Road Price) : Rs.6.94-11.19 Lakh*,2016,Dealer,"78,000 kms",First Owner,Petrol,Manual,Mileage18.78 kmpl,Engine1198 CC,Max Power74 bhp,Seats5
101,Mercedes-Benz C-Class C 200 CGI Elegance,7.75 Lakh*,New Car (On-Road Price) : Rs.47.62-1.60 Cr*,2012,Dealer,"74,352 kms",First Owner,Petrol,Automatic,Mileage11.74 kmpl,Engine1796 CC,Max Power186 bhp,Seats5
102,Maruti Wagon R VXI,3.5 Lakh*,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,2014,Individual,"37,000 kms",First Owner,Petrol,Manual,Mileage20.51 kmpl,Engine998 CC,Max Power67.04 bhp,Seats5
103,Honda City i DTEC VX Option,5.5 Lakh*,New Car (On-Road Price) : Rs.14.79-17.55 Lakh*,2014,Dealer,"69,000 kms",First Owner,Diesel,Manual,Mileage25.1 kmpl,Engine1498 CC,Max Power98.6 bhp,Seats5
104,Kia Seltos HTK Plus G,10.8 Lakh*,New Car (On-Road Price) : Rs.11.19-19.20 Lakh*,2019,Individual,"12,120 kms",First Owner,Petrol,Manual,Mileage16.8 kmpl,Engine1497 CC,Max Power113.4 bhp,Seats5
105,Maruti Baleno Delta,5.75 Lakh*,,2016,Dealer,"52,000 kms",First Owner,Petrol,Manual,Mileage21.01 kmpl,Engine1197 CC,Max Power81.80 bhp,Seats5
106,Toyota Innova 2.5 G (Diesel) 8 Seater,9.5 Lakh*,,2016,Individual,"1,20,000 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100.6 bhp,Seats8
107,Maruti Alto 800 LXI,2.3 Lakh*,New Car (On-Road Price) : Rs.3.47-4.66 Lakh*,2013,Individual,"55,000 kms",First Owner,Petrol,Manual,Mileage22.74 kmpl,Engine796 CC,Max Power47.3 bhp,Seats5
108,Hyundai i20 1.4 CRDi Magna,2.7 Lakh*,New Car (On-Road Price) : Rs.8.60-11.28 Lakh*,2011,Individual,"1,60,000 kms",First Owner,Diesel,Manual,Mileage21.9 kmpl,Engine1396 CC,Max Power90 bhp,Seats5
109,Chevrolet Beat Diesel LS,1.65 Lakh*,,2012,Dealer,"42,000 kms",First Owner,Diesel,Manual,Mileage25.44 kmpl,Engine936 CC,Max Power56.3 bhp,Seats5
110,Ford Figo Petrol EXI,1.3 Lakh*,New Car (On-Road Price) : Rs.6.13-7.91 Lakh*,2011,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage15.6 kmpl,Engine1196 CC,Max Power70 bhp,Seats5
111,Maruti Swift Dzire VXI,3.7 Lakh*,New Car (On-Road Price) : Rs.6.53-9.95 Lakh*,2012,Dealer,"46,000 kms",First Owner,Petrol,Manual,Mileage19.1 kmpl,Engine1197 CC,Max Power85.8 bhp,Seats5
112,Maruti Baleno Delta 1.2,5.7 Lakh*,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,2017,Dealer,"25,000 kms",First Owner,Petrol,Manual,Mileage21.4 kmpl,Engine1197 CC,Max Power83.1 bhp,Seats5
113,Toyota Etios GD,3.9 Lakh*,,2015,Individual,"2,40,000 kms",First Owner,Diesel,Manual,Mileage23.59 kmpl,Engine1364 CC,Max Power67.05 bhp,Seats5
114,Volkswagen Polo Diesel Comfortline 1.2L,3.65 Lakh*,,2013,Dealer,"90,000 kms",First Owner,Diesel,Manual,Mileage22.07 kmpl,Engine1199 CC,Max Power73.9 bhp,Seats5
115,Hyundai i20 Magna,2.8 Lakh*,,2012,Dealer,"49,566 kms",First Owner,Petrol,Manual,Mileage18.5 kmpl,Engine1197 CC,Max Power82.85 bhp,Seats5
116,Hyundai Verna CRDi 1.6 AT SX Option,12.5 Lakh*,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,2018,Dealer,"14,000 kms",First Owner,Diesel,Automatic,Mileage22.0 kmpl,Engine1582 CC,Max Power126.2 bhp,Seats5
117,Hyundai i20 2015-2017 Sportz 1.2,5.9 Lakh*,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2016,Dealer,"11,000 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Seats5
118,Maruti Celerio VXI AMT BSIV,4.75 Lakh*,New Car (On-Road Price) : Rs.5.30-6.65 Lakh*,2018,Individual,"5,000 kms",First Owner,Petrol,Automatic,Mileage23.1 kmpl,Engine998 CC,Max Power67.04 bhp,Seats5
119,Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,6.85 Lakh*,New Car (On-Road Price) : Rs.10.14-13.79 Lakh*,2017,Dealer,"55,000 kms",First Owner,Diesel,Manual,Mileage23.0 kmpl,Engine1498 CC,Max Power98.96 bhp,Seats5
120,Hyundai Verna SX CRDi AT,3.8 Lakh*,,2012,Dealer,"65,000 kms",First Owner,Diesel,Automatic,Mileage19.08 kmpl,Engine1582 CC,Max Power126.32 bhp,Seats5
121,Renault KWID 1.0 RXT Optional,3.3 Lakh*,New Car (On-Road Price) : Rs.3.97-6.48 Lakh*,2018,Individual,"22,000 kms",First Owner,Petrol,Manual,Mileage23.01 kmpl,Engine999 CC,Max Power67 bhp,Seats5
